brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,cluster_label,is_outlier
Mitsubishi,M342i,GSM,GSM 900 / 1800 ,,,,Class 8,No,2004  1Q,Discontinued,107 x 47 x 19 mm| 85 cc (4.21 x 1.85 x 0.75 in),,,Mini-SIM,TFT  256K colors,,128 x 160 pixels,,,,,No,5 MB,,VGA,No,Yes,No,No,No,No,,No,,,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/mim342i.gif,0,False
Bird,S663,GSM,GSM 900 / 1800 ,,,,No,No,2007,Discontinued,105.3 x 44 x 15.8 mm (4.15 x 1.73 x 0.62 in),80,2.82,Mini-SIM,CSTN  65K colors,1.5 inches (~15.7% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,,,,,Yes,No,No,No,No,,No,No,,Removable Li-Ion 700 mAh battery,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/bird-s663.gif,0,False
Celkon,A66,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,2014,Available,136 x 67.2 x 11 mm (5.35 x 2.65 x 0.43 in),98,3.46,Dual SIM,TFT capacitive touchscreen,4.5 inches (~61.1% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.1.2 (Jelly Bean),Dual-core 1.2 GHz,,,microSD  up to 32 GB,4 GB,512 MB RAM,3.15 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes,,FM radio,microUSB,Accelerometer| proximity,Li-Ion 2000 mAh battery,White| Black,,http://cdn2.gsmarena.com/vv/bigpic/celkon-a66.jpg,0,False
alcatel,Pixi 4 (4),GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2016  January,Available. Released 2016  Q3,121.3 x 64.4 x 9.7 mm (4.78 x 2.54 x 0.38 in),,,Micro-SIM,TFT capacitive touchscreen  16M colors,4.0 inches (~58.3% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580M,Mali-400MP2,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,2 MP or 5 MP| LED flash,VGA or 2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1500 mAh battery,Various,60.0,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi4-40.jpg,0,False
Allview,X3 Soul Pro,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600)| 20(800)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 21.1/5.76 Mbps  LTE Cat6 300/50 Mbps,Yes,Yes,2016  February,Available. Released 2016  February,154.3 x 74.9 x 7 mm (6.07 x 2.95 x 0.28 in),144,5.08,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),AMOLED capacitive touchscreen  16M colors,5.5 inches (~72.2% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 6.0 (Marshmallow),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mediatek MT6755 Helio P10,Mali-T860MP2,microSD  up to 256 GB (uses SIM 2 slot),64 GB,4 GB RAM,16 MP| f/1.8| autofocus| LED flash,8 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| EDR,Yes with A-GPS,,FM radio,2.0| Type-C 1.0 reversible connector,Fingerprint (front-mounted)| accelerometer| proximity| compass,Non-removable Li-Po 3000 mAh battery,Gold| Silver,450.0,http://cdn2.gsmarena.com/vv/bigpic/allview-x3-soul-pro.jpg,0,False
Apple,Watch 38mm,No cellular connectivity, N/A,,,,No,No,2014  September,Available. Released 2015  May,38.6 x 33.3 x 10.5 mm (1.52 x 1.31 x 0.41 in),40,2.72,No,AMOLED capacitive touchscreen  16M colors,1.5 inches (~55.1% screen-to-body ratio),340 x 272 pixels (~290 ppi pixel density),watchOS 1.0| upgradable to 3.2.2,520 MHz,Apple S1,PowerVR SGX543,No,8 GB,512 MB RAM,,,Yes,No,Wi-Fi 802.11 b/g/n,4.0| LE,No,Yes,No,No,Accelerometer| gyro| heart rate,Non-removable Li-Ion 205 mAh battery (0.78 Wh),Stainless Steel/Red| White| Brown/Black/Blue/Red/Marigold/Jay Buckle| Blue/Stone Leather Loop| Silver/Space Black Milanese Loop| Link Bracelet| Space Black Stainless Steel/Black| Black Link Bracelet| Pearl Woven Nylon,650.0,http://cdn2.gsmarena.com/vv/bigpic/apple-watch-38mm.jpg,0,False
Orange,Rio,GSM,GSM 900 / 1800 ,,,,Class 12,Yes,2011,Available. Released 2011,107 x 61 x 12 mm (4.21 x 2.40 x 0.47 in),90,3.17,Mini-SIM,TFT resistive touchscreen  256K colors,2.4 inches (~27.3% screen-to-body ratio),320 x 240 pixels (~167 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot),6 MB,,2 MP,No,Yes,Yes,No,Yes,No,,FM radio,miniUSB 2.0,,Removable Li-Ion battery,Black| Pink,,http://cdn2.gsmarena.com/vv/bigpic/orange-rio.jpg,0,False
LG,Motion 4G MS770,CDMA / EVDO / LTE,CDMA 800 / 1700 / 1900 / 2100 ,CDMA2000 1xEV-DO ,LTE band 4(1700/2100),EV-DO Rev.A 3.1 Mbps  LTE,No,No,2012  August,Available. Released 2012  August,111 x 61 x 11.7 mm (4.37 x 2.40 x 0.46 in),132,4.66,Micro-SIM,TFT capacitive touchscreen  16M colors,3.5 inches (~53.9% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 4.0 (Ice Cream Sandwich),Dual-core 1.2 GHz Krait,Qualcomm MSM8960L Snapdragon S4 Plus,Adreno 225,microSD  up to 32 GB (dedicated slot),8 GB (5 GB user available),1 GB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| DLNA| hotspot,4.0| A2DP,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1700 mAh battery,Black,110.0,http://cdn2.gsmarena.com/vv/bigpic/lg-motion-4g.jpg,0,False
Lava,Icon,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA,Yes,Yes,2015  April,Available. Released 2015  April,143.4 x 70.6 x 7.7 mm (5.65 x 2.78 x 0.30 in),143,5.04,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen,5.0 inches (~68.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,,,microSD  up to 32 GB,16 GB,2 GB RAM,13 MP| autofocus| dual-LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0| USB Host,Accelerometer| proximity,Non-removable Li-Po 2500 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/lava-icon.jpg,0,False
Sagem,my215x,GSM,GSM 900 / 1800 ,,,,No,No,2007  January,Discontinued,103 x 44.5 x 15 mm (4.06 x 1.75 x 0.59 in),69,2.43,Mini-SIM,CSTN  65K colors,,128 x 128 pixels,,,,,No,256 MB,,,,No,No,No,No,No,,No,Yes,,Removable Li-Ion 680 mAh battery,,80.0,http://cdn2.gsmarena.com/vv/bigpic/sagem-my215x.gif,0,False
ZTE,N290,GSM,GSM 900 / 1800 ,,,,Yes,Yes,2010. Released 2010,Discontinued,112 x 55 x 13 mm (4.41 x 2.17 x 0.51 in),106,3.74,Mini-SIM,TFT resistive touchscreen  256K colors,3.2 inches (~47.3% screen-to-body ratio),240 x 400 pixels (~146 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),20 MB,,3.2 MP,2 MP,Yes,No,No,2.0| A2DP,No,,FM radio,Yes,,Removable Li-Ion 1500 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/zte-n290.jpg,0,False
alcatel,OT 511,GSM,GSM 900 / 1800 ,,,,9600 bps,No,2001,Discontinued,97 x 42 x 20 mm| 71 cc (3.82 x 1.65 x 0.79 in),75,2.65,Mini-SIM,Monochrome graphic,,96 x 64 pixels| 6 x 20 chars,,,,,No,,,,,No,No,No,No,No,,No,,,Removable Li-Ion 600 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/alot511.gif,0,False
Celkon,Q405,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2, HSDPA,,HSPA,Yes,Yes,2015  May,Available. Released 2015  May,124 x 64.2 x 9.9 mm (4.88 x 2.53 x 0.39 in),137,4.83,Dual SIM,Capacitive touchscreen,4.0 inches (~57.2% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 4.4 (KitKat),Quad-core 1.2 GHz,Spreadtrum 7731,Mali-400,microSD  up to 32 GB,4 GB,512 MB RAM,3.15 MP| LED flash,1.3 MP,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,Yes,,FM radio,microUSB,Accelerometer| proximity,Li-Ion 1500 mAh battery,Black| White| Gold| Blue,,http://cdn2.gsmarena.com/vv/bigpic/celkon-q405.jpg,0,False
